股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ002885,京泉华,33.45,0.12,0.36,28.39,7119300,241116213,6.43,85.333,0.09,6021000000
SZ002314,南山控股,4,-0.01,-0.25,28.21,30774600,122623817,2.3,24.495,0,10831130052
SZ002469,三维化学,8.26,0.02,0.24,28.18,91277005,756265369.72,14.75,13.422,3.027,5359605324
SH603379,三美股份,28.92,-0.24,-0.82,28.05,4698573,136876229,0.77,23.9,0.588,17655053750
SZ002765,蓝黛科技,10.66,0.57,5.65,27.93,53091200,575580527.84,11.91,34.257,0.469,6217181591
SH688037,芯源微,214.9,9.91,4.83,27.64,1691764,368283694,3.75,177.913,0.127,19870491895
SZ301282,金禄电子,38.74,0.32,0.83,27.52,10741903,416295701.96,29.97,51.958,,5855162360
SZ002698,博实股份,16.23,0.13,0.81,27.26,8394920,135750467.1,1.04,35.46,1.54,16595986500
SH601028,玉龙股份,24.23,-0.67,-2.69,27.26,7537863,183832648,0.96,70.75,0.264,18972714165
SH600477,杭萧钢构,5.19,-0.02,-0.38,27.2,78695189,409148314,3.32,29.383,1.156,12295686879
SH688247,宣泰医药,11.91,-0.04,-0.33,27.11,4497874,53772957,10.99,39.076,,5399279400
SH688513,苑东生物,57.83,0.08,0.14,26.79,133424,7676515,0.22,27.81,1.349,6944804700
SZ002277,友阿股份,4.13,-0.07,-1.67,26.69,12348441,51053867.33,0.89,526.237,0,5757933664
SZ300718,长盛轴承,20.82,2.79,15.47,26.65,8449428,167223092.72,4.56,43.954,1.677,6204718291
SH688268,华特气体,113.51,0.8,0.71,26.55,1635713,186951185,4.64,75.172,0.308,13652783022
SH600532,*ST未来,23.35,0.66,2.91,26.49,6166810,141070643,1.19,,0,12050134562
SZ002003,伟星股份,12.02,0.13,1.09,26.42,7810850,95009203.11,0.92,23.799,3.2,12467210783
SZ300848,美瑞新材,26.49,-0.61,-2.25,26.32,4299786,115529532.06,6.2,41.024,0.503,5298264900
SZ300239,东宝生物,8.88,0.19,2.19,26.06,19297262,169283548.58,3.75,60.653,0.068,5271194489
SZ002941,新疆交建,15.12,0.04,0.27,25.89,17664590,265375825.45,2.76,34.205,0.661,9753257274
SH600987,航民股份,6.59,-0.11,-1.64,25.55,9968337,66037862,1.12,10.271,4.552,6924896281
SH688259,创耀科技,83.3,2.2,2.71,25.53,658870,54950813,3.71,76.963,0.36,6664000000
SZ002840,华统股份,21.65,-0.46,-2.08,25.29,6227294,134396167.32,1.35,,0,13122001869
SZ000819,岳阳兴长,23.09,0,0,25.28,7949213,183732514.86,2.66,86.085,0,7073050138
SZ300229,拓尔思,12.9,0.19,1.49,25.24,8452595,108477179.4,1.18,34.719,0.388,9220510090
SZ002547,春兴精工,5.68,0.05,0.89,25.11,68584111,387701943.19,6.21,,0,6407364714
SZ002897,意华股份,70.51,0.5,0.71,24.83,3788422,269033886.07,2.39,48.49,0.142,12034082720
SH603078,江化微,25.44,0.96,3.92,24.78,14627245,369288672,5.74,63.064,0.272,6481193947
