股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ000798,中水渔业,11.94,-0.31,-2.53,54.66,14459329,171265334.39,4.53,,0,4368353021
SZ001339,智微智能,26.06,2.37,10,54.57,25829537,652550254.43,41.83,32.192,0,6435907900
SZ301215,中汽股份,5.85,0.04,0.69,54.49,7894847,45977016.4,3.05,69.473,0.393,7736040000
SH603619,中曼石油,22.99,0.76,3.42,54.17,17393326,397492850,4.35,36.152,0.87,9196002299
SZ002478,常宝股份,6.55,0.6,10.08,54.16,81277090,514329619.02,13.97,27.175,1.221,5911739088
SH600153,建发股份,13.27,0.62,4.9,53.77,44283730,577964475,1.56,6.382,4.521,39895936918
SH600056,中国医药,12.86,-0.25,-1.91,53.75,27148873,350343014,1.82,31.953,1.009,19237013559
SH688516,奥特维,374.99,14,3.88,53.57,1325739,500432984,2.55,75.69,0.396,39889414254
SZ001234,泰慕士,24.9,0.54,2.22,53.5,2339837,57754418.68,8.77,27.177,2.008,2656000830
SZ000985,大庆华科,21.2,-0.55,-2.53,52.94,11673861,249828159.42,9,158.124,0.217,2748357400
SH600078,ST澄星,14.29,-0.75,-4.99,52.67,20164300,297824382,3.04,3.608,0,9468166184
SH603067,振华股份,16.63,0.08,0.48,52.5,11476764,192705933,2.28,21.186,1.105,8464938841
SZ002125,湘潭电化,17.3,-0.05,-0.29,52.24,16403266,285785780.78,2.76,22.099,0.289,10890033635
SZ002307,北新路桥,6.5,0.37,6.04,52.22,137248002,885954872.63,12.58,159.413,0,8243895283
SZ301153,中科江南,51.18,-0.31,-0.6,51.96,770282,39302079.45,3.34,33.426,1.954,5527440000
SH603527,众源新材,17.93,-0.64,-3.45,51.8,4138160,75400832,1.7,28.577,1.115,4371764320
SH603500,祥和实业,13.55,0.39,2.96,51.48,1617860,21848252,0.66,51.783,0.959,3327185915
SH600520,文一科技,13.28,0.22,1.68,51.43,35255745,468183430,22.25,67.615,0,2103950400
SZ300554,三超新材,24.94,0.56,2.3,51.24,7558694,189262944.65,10.99,,0,2420999024
SH603255,鼎际得,33.08,0.12,0.36,51.19,4422331,146314155,13.25,31.453,,4415077344
SZ301116,益客食品,17.11,-0.48,-2.73,50.47,4001017,68599373.61,9.27,,0.305,7682040836
SZ000498,山东路桥,9.17,-0.06,-0.65,50.37,25771849,237484242.27,1.77,5.993,1.363,14310397584
SZ000633,合金投资,8.9,0.31,3.61,50.34,10366988,91186345.68,2.69,369.067,0,3427446720
SZ301095,广立微,87.08,-3.62,-3.99,50.14,3513515,308230813.15,8.81,246.183,0,17416000000
SH688403,汇成股份,13.33,-0.22,-1.62,50.11,7460101,99704725,6.43,63.955,,11128594236
SZ002031,巨轮智能,3.18,-0.01,-0.31,50,135307423,429538565.99,7,,0,6994078231
SZ002779,中坚科技,25.48,-0.68,-2.6,49.99,926000,23965130,0.78,128.44,0.078,3363360000
SH688048,长光华芯,120.52,-1.64,-1.34,49.84,1463694,175084178,5.01,128.631,0.415,16342506697
SZ003002,壶化股份,17.4,0.76,4.57,49.82,15041024,265855447.52,19.21,42.15,0.862,3480000000
SZ000909,数源科技,11.78,0.45,3.97,49.49,98931475,1102829558.37,25.54,101.342,0,5346100908
SH688213,思特威-W,47.06,-2.21,-4.49,49.35,1153825,54677998,3.83,84.191,0,18824470600
SH600139,*ST西源,3.64,0.1,2.82,49.18,32276208,113819685,4.88,,0,2409281449
SZ301122,采纳股份,74.52,-1.68,-2.2,49.15,554691,41598448.05,2.36,41.447,0.47,7007497291
SH603822,嘉澳环保,61.58,-0.35,-0.57,49.13,2437474,150082035,3.36,39.836,0.453,4517921201
SH688722,同益中,20.39,-0.13,-0.63,48.94,3820187,77457861,8.5,46.785,0,4580954013
SH600062,华润双鹤,19.42,-0.85,-4.19,48.71,31086871,609925197,3.03,18.799,3.96,20259676328
SZ301289,国缆检测,49.89,-1.23,-2.41,48.7,774484,38850807.52,5.16,46.207,0,2993400000
SH600732,爱旭股份,34.66,0.36,1.05,48.37,22812966,794303821,3.42,79.868,0,39470333539
SH688271,联影医疗,163,-4.2,-2.51,48.34,3467294,583449357,7.34,87.029,,134337752044
SH600657,信达地产,5.47,0.13,2.43,48.31,33345370,180786890,1.17,23.2,1.28,15599775915
SH601689,拓普集团,78.06,-2.11,-2.63,48,6997442,545815453,0.63,67.985,0.356,86025755410
SZ002062,宏润建设,5.92,0.11,1.89,47.94,23380300,137730984.72,2.42,17.004,1.689,6526800000
SZ002615,哈尔斯,8.03,-0.09,-1.11,47.88,18012380,144292477.46,7.79,16.128,1.868,3321689398
SH600199,金种子酒,25,-0.4,-1.57,47.84,13758152,344180877,2.09,,0,16444920600
SH688371,菲沃泰,27.39,-0.2,-0.72,47.73,2555903,69204339,3.43,216.068,,9188587831
SH605286,同力日升,44,1.21,2.83,47.72,3352289,147237978,6.98,52.79,0.273,7392000000
SZ002188,中天服务,5.76,0,0,47.69,3172100,18163827,1.32,9.158,0,1685022192
SH603085,天成自控,11.75,0.02,0.17,47.61,4084315,48241792,1.1,488.699,0,4665925000
SH601007,金陵饭店,8.36,-0.09,-1.07,47.5,6928720,57551583,1.78,226.536,0.957,3260400000
SH603668,天马科技,18.44,-0.48,-2.54,47.23,6874693,127777896,1.7,46.498,0.217,8042877547
SH600502,安徽建工,5.9,0.09,1.55,47.1,65282265,382676136,3.79,8.908,4.237,10154845605
SZ001229,魅视科技,31.9,-0.23,-0.72,46.94,2313483,73245048.26,9.25,31.052,0,3190000000
SZ000937,冀中能源,7.18,0.33,4.82,46.82,56819059,405246821.07,1.95,5.455,13.928,25370866383
SZ300337,银邦股份,11.64,-0.38,-3.16,46.63,18154550,213984351.07,2.56,85.526,0.172,9567148800
SH688297,中无人机,47.4,-0.7,-1.46,46.52,3494425,166248735,2.87,104.156,0,31995000000
SZ000707,双环科技,10.74,0.06,0.56,46.32,15344311,165027873.48,3.31,5.178,0,4984925516
SH603665,康隆达,48.79,0.47,0.97,46.21,1105798,54676655,0.69,,0,7839727327
SZ300401,花园生物,20.67,1.15,5.89,45.81,25143118,511478406.23,4.64,21.041,0.91,11389326203
SZ001231,农心科技,25.9,-0.68,-2.56,45.75,9577523,254053893.31,38.31,29.766,0,2590000000
SZ300051,三五互联,6.54,-0.05,-0.76,45.66,8257132,54345909.8,2.26,,0,2391669433
SZ300916,朗特智能,59.47,-0.78,-1.29,45.2,1286588,77670270.59,4.94,37.481,0.336,5697523350
SZ002729,好利科技,48.34,0.13,0.27,45.2,1073652,51664547.34,0.86,213.501,0.059,6317689952
SZ000007,全新好,8.84,0.06,0.68,45.16,23927200,211176432.5,7.74,94.921,0,3062600709
SH688102,斯瑞新材,15.11,0.72,5,45.08,3356067,49664683,10.22,75.799,0.529,6044151100
SH600551,时代出版,11.37,-0.08,-0.7,44.98,3714525,42147605,0.77,20.429,1.442,5506777194
